set,id,name,grade,clan,type,rarity
BT02,001,"Soul Saver Dragon",3,Royal Paladin,Normal Unit,RRR
BT02,002,"Blaster Dark",2,Shadow Paladin,Normal Unit,RRR
BT02,003,"Blazing Flare Dragon",3,Kagero,Normal Unit,RRR
BT02,004,"Maiden of Libra",2,Oracle Think Tank,Normal Unit,RRR
BT02,005,"Lion Mane, King of Beasts",3,Great Nature,Normal Unit,RRR
BT02,006,"Goddess of Flower Divination, Sakuya",3,Oracle Think Tank,Normal Unit,RRR
BT02,007,"Sky High Walker",1,Nova Grappler,Normal Unit,RRR
BT02,008,"Ruins Shade",2,Granblue,Normal Unit,RRR
BT02,009,"High Dog Breeder, Akane",2,Royal Paladin,Normal Unit,RR
BT02,010,"Pantyhose, Catcher",2,Spike Brothers,Normal Unit,RR
BT02,011,"Baron, Amon",3,Dark Irregulars,Normal Unit,RR
BT02,012,"Gwyn the Ripper",2,Dark Irregulars,Normal Unit,RR
BT02,013,"Blazing Core Dragon",2,Kagero,Normal Unit,RR
BT02,014,"Iron Tail Dragon",2,Kagero,Normal Unit,RR
BT02,015,"Gatling Claw Dragon",0,Kagero,Draw Trigger,RR
BT02,016,"Darkside Pegasus",1,Pale Moon,Normal Unit,RR
BT02,017,"Barking Manticore",3,Pale Moon,Normal Unit,RR
BT02,018,"Mirror Image, Bunny",2,Pale Moon,Normal Unit,RR
BT02,019,"Hadron Badon",2,Pale Moon,Normal Unit,RR
BT02,020,"Skull Juggler",1,Pale Moon,Normal Unit,RR
BT02,021,"Gigantech Dozer",3,Royal Paladin,Normal Unit,R
BT02,022,"Knight of Truth, Gordon",2,Royal Paladin,Normal Unit,R
BT02,023,"Toypugal",1,Royal Paladin,Normal Unit,R
BT02,024,"Flame Edge Dragon",2,Kagero,Normal Unit,R
BT02,025,"Dragon Dancer, Bernadette",2,Kagero,Normal Unit,R
BT02,026,"Dragon Monk, Enbi",1,Kagero,Normal Unit,R
BT02,027,"Lizard Soldier, Raopia",1,Kagero,Normal Unit,R
BT02,028,"Full Moon Specter",3,Granblue,Normal Unit,R
BT02,029,"Stormride Ghost Ship",3,Granblue,Normal Unit,R
BT02,030,"Captain Nightmist",2,Granblue,Normal Unit,R
BT02,031,"Deadly Spirit",2,Granblue,Normal Unit,R
BT02,032,"Deadly Nightmare",1,Granblue,Normal Unit,R
BT02,033,"Edel Rose",3,Dark Irregulars,Normal Unit,R
BT02,034,"Blue Dust",2,Dark Irregulars,Normal Unit,R
BT02,035,"Doreen the Thruster",1,Dark Irregulars,Normal Unit,R
BT02,036,"Prisoner Beast",1,Dark Irregulars,Normal Unit,R
BT02,037,"Alluring Succubus",1,Dark Irregulars,Normal Unit,R
BT02,038,"Midnight Bunny",1,Pale Moon,Normal Unit,R
