set,id,name,grade,clan,type,rarity,qtt
BT01,1,"King of Knights, Alfred",3,Royal Paladin,Normal Unit,RRR,2
BT01,2,Blaster Blade,2,Royal Paladin,Normal Unit,RRR,3
BT01,3,Barcgal,0,Royal Paladin,Normal Unit,RRR,3
BT01,4,Dragonic Overlord,3,Kagero,Normal Unit,RRR,2
BT02,4,Maiden of Libra,2,Oracle Think Tank,Normal Unit,RRR,1
BT01,5,"Embodiment of Victory, Aleph",3,Kagero,Normal Unit,RRR,3
BT01,6,CEO Amaterasu,3,Oracle Think Tank,Normal Unit,RRR,2
BT01,8,Asura Kaiser,3,Nova Grappler,Normal Unit,RRR,1
BT01,9,"Demon Slaying Knight, Lohengrin",3,Royal Paladin,Normal Unit,RR,3
BT01,10,"Solitary Knight, Gancelot",3,Royal Paladin,Normal Unit,RR,5
BT01,11,"Flash Shield, Iseult",1,Royal Paladin,Normal Unit,RR,5
BT01,12,"Future Knight, Llew",0,Royal Paladin,Critical Trigger,RR,3
BT01,13,Vortex Dragon,3,Kagero,Normal Unit,RR,3
BT01,14,"Dragon Knight, Aleph",2,Kagero,Normal Unit,RR,2
BT01,15,"Wyvern Guard, Barri",1,Kagero,Normal Unit,RR,2
BT01,16,"Lizard Soldier, Conroe",0,Kagero,Normal Unit,RR,4
BT01,17,Maiden of Libra,2,Oracle Think Tank,Normal Unit,RR,2
BT01,18,"Battle Sister, Mocha",2,Oracle Think Tank,Normal Unit,RR,5
BT02,19,Hadron Badon,2,Pale Moon,Normal Unit,RR,1
BT01,19,"Battle Sister, Chocolat",1,Oracle Think Tank,Normal Unit,RR,4
BT01,20,Juggernaut Maximum,3,Spike Brothers,Normal Unit,RR,5
BT01,21,"Knight of Silence, Gallatin",2,Royal Paladin,Normal Unit,R,5
BT01,22,"Dragon Knight, Nehalem",2,Kagero,Normal Unit,R,8
BT01,23,"Wyvern Strike, Tejas",2,Kagero,Normal Unit,R,5
BT01,24,"Embodiment of Spear, Tahr",0,Kagero,Critical Trigger,R,4
BT02,24,Flame Edge Dragon,2,Kagero,Normal Unit,R,1
BT02,25,"Dragon Dancer, Bernadette",2,Kagero,Normal Unit,R,1
BT01,25,"Oracle Guardian, Apollon",3,Oracle Think Tank,Normal Unit,R,2
BT01,26,"Oracle Guardian, Wiseman",2,Oracle Think Tank,Normal Unit,R,5
BT02,26,"Dragon Monk, Enbi",1,Kagero,Normal Unit,R,1
BT01,27,Lozenge Magus,0,Oracle Think Tank,Heal Trigger,R,7
BT01,28,Mr. Invincible,3,Nova Grappler,Normal Unit,R,5
BT02,28,Full Moon Specter,3,Granblue,Normal Unit,R,1
BT01,29,Brutal Jack,2,Nova Grappler,Normal Unit,R,5
BT01,30,King of Sword,2,Nova Grappler,Normal Unit,R,6
BT02,30,Captain Nightmist,2,Granblue,Normal Unit,R,1
BT01,31,Queen of Heart,1,Nova Grappler,Normal Unit,R,5
BT01,32,Battleraizer,0,Nova Grappler,Stand Trigger,R,5
BT01,33,"Tyrant, Deathrex",3,Tachikaze,Normal Unit,R,4
BT01,34,"Assault Dragon, Blightops",2,Tachikaze,Normal Unit,R,4
BT02,34,Blue Dust,2,Dark Irregulars,Normal Unit,R,1
BT01,35,"Stealth Dragon, Voidmaster",3,Nubatama,Normal Unit,R,4
BT01,36,Demon Eater,3,Dark Irregulars,Normal Unit,R,8
BT01,37,Monster Frank,3,Granblue,Normal Unit,R,6
BT02,37,Alluring Succubus,1,Dark Irregulars,Normal Unit,R,1
BT01,38,Commodore Blueblood,2,Granblue,Normal Unit,R,6
BT01,39,Hell Spider,3,Megacolony,Normal Unit,R,5
BT01,40,Bloody Hercules,2,Megacolony,Normal Unit,R,6
BT02,41,"Knight of Tribulations, Galahad",3,Royal Paladin,Normal Unit,C,1
BT01,41,"Covenant Knight, Randolf",2,Royal Paladin,Normal Unit,C,12
BT01,42,"Little Sage, Marron",1,Royal Paladin,Normal Unit,C,10
BT01,43,"Lake Maiden, Lien",1,Royal Paladin,Normal Unit,C,9
BT02,43,"Knight of Harvest, Galahad",1,Royal Paladin,Normal Unit,C,1
BT02,44,Drangal,0,Royal Paladin,Normal Unit,C,1
BT01,44,Wingal,1,Royal Paladin,Normal Unit,C,10
BT02,45,Alabaster Owl,0,Royal Paladin,Critical Trigger,C,1
BT01,45,"Weapons Dealer, Govannon",0,Royal Paladin,Draw Trigger,C,10
BT01,46,Flogal,0,Royal Paladin,Stand Trigger,C,11
BT02,47,Borgal,0,Royal Paladin,Heal Trigger,C,1
BT01,47,"Yggdrasil Maiden, Elaine",0,Royal Paladin,Heal Trigger,C,12
BT01,48,"Embodiment of Armor, Bahr",1,Kagero,Normal Unit,C,13
BT02,48,"Amber Dragon, Eclipse",3,Kagero,Normal Unit,C,1
BT01,49,"Dragon Monk, Gojo",1,Kagero,Normal Unit,C,12
BT01,50,"Wyvern Strike, Jarran",1,Kagero,Normal Unit,C,14
BT02,50,"Amber Dragon, Dawn",1,Kagero,Normal Unit,C,1
BT02,51,"Amber Dragon, Daylight",0,Kagero,Normal Unit,C,1
BT01,51,"Dragon Dancer, Monica",0,Kagero,Draw Trigger,C,10
BT01,52,"Lizard Soldier, Ganlu",0,Kagero,Stand Trigger,C,10
BT01,53,"Dragon Monk, Genjo",0,Kagero,Heal Trigger,C,12
BT02,53,Blue Ray Dracokid,0,Kagero,Critical Trigger,C,1
BT02,54,"Dragon Dancer, Rakshasa",0,Kagero,Stand Trigger,C,1
BT01,54,"Oracle Guardian, Gemini",1,Oracle Think Tank,Normal Unit,C,12
BT01,55,"Weather Girl, Milk",1,Oracle Think Tank,Normal Unit,C,12
BT02,55,"Dragon Monk, Genjo",0,Kagero,Heal Trigger,C,1
BT02,56,"Dragon Undead, Skull Dragon",3,Granblue,Normal Unit,C,1
BT01,56,"Oracle Guardian, Nike",0,Oracle Think Tank,Critical Trigger,C,10
BT01,57,Dream Eater,0,Oracle Think Tank,Draw Trigger,C,14
BT02,58,Evil Shade,1,Granblue,Normal Unit,C,1
BT01,58,Miracle Kid,0,Oracle Think Tank,Draw Trigger,C,15
BT01,59,Hungry Dumpty,2,Nova Grappler,Normal Unit,C,9
BT02,60,Knight Spirit,0,Granblue,Critical Trigger,C,1
BT01,60,Tough Boy,1,Nova Grappler,Normal Unit,C,10
BT01,61,"Screamin' and Dancin' Announcer, Shout",1,Nova Grappler,Normal Unit,C,10
BT02,61,Hook-wielding Zombie,0,Granblue,Draw Trigger,C,1
BT02,62,Rick the Ghost,0,Granblue,Heal Trigger,C,1
BT01,62,Clay-doll Mechanic,1,Nova Grappler,Normal Unit,C,8
BT01,63,Shining Lady,0,Nova Grappler,Critical Trigger,C,14
BT02,63,Doctor Rouge,0,Granblue,Heal Trigger,C,1
BT02,64,Stil Vampire,3,Dark Irregulars,Normal Unit,C,1
BT01,64,Lucky Girl,0,Nova Grappler,Stand Trigger,C,9
BT01,65,"Ring Girl, Clara",0,Nova Grappler,Heal Trigger,C,8
BT02,65,Dark Soul Conductor,2,Dark Irregulars,Normal Unit,C,1
